Reading Airport file from airports.txt
There were 5740 Airports with IATA code
Reading Routes file from routes.txt
There were 68292 valid routes
There were 528 invalid routes

The epsilon is 1e-15 
The damping factor is 0.85 
The maximum number of iterations is 1000 

IATA	PageRank	Name
ORD 	0.00354807	Chicago Ohare Intl, United States
LAX 	0.00354401	Los Angeles Intl, United States
DEN 	0.00352927	Denver Intl, United States
LHR 	0.00276977	Heathrow, United Kingdom
ATL 	0.00272073	Hartsfield Jackson Atlanta Intl, United States
CDG 	0.00268208	Charles De Gaulle, France
PEK 	0.00267440	Capital Intl, China
SIN 	0.00267369	Changi Intl, Singapore
FRA 	0.00261318	Frankfurt Main, Germany
SYD 	0.00251136	Sydney Intl, Australia
DFW 	0.00245210	Dallas Fort Worth Intl, United States
JFK 	0.00243558	John F Kennedy Intl, United States
AMS 	0.00240713	Schiphol, Netherlands
DME 	0.00234594	Domododevo, Russia
YYZ 	0.00223400	Lester B Pearson Intl, Canada
ICN 	0.00221854	Incheon Intl, South Korea
DXB 	0.00221693	Dubai Intl, United Arab Emirates
PVG 	0.00209672	Pudong, China
IST 	0.00207764	Ataturk, Turkey
BCN 	0.00207158	Barcelona, Spain
HKG 	0.00199123	Hong Kong Intl, Hong Kong
BOG 	0.00190442	Eldorado Intl, Colombia
BKK 	0.00188773	Suvarnabhumi Intl, Thailand
MIA 	0.00186360	Miami Intl, United States
MEX 	0.00185352	Licenciado Benito Juarez Intl, Mexico
FCO 	0.00184650	Fiumicino, Italy
BNE 	0.00181719	Brisbane Intl, Australia
LGW 	0.00180345	Gatwick, United Kingdom
SFO 	0.00179640	San Francisco Intl, United States
MUC 	0.00178437	Franz Josef Strauss, Germany
IAH 	0.00177725	George Bush Intercontinental, United States
KUL 	0.00176516	Kuala Lumpur Intl, Malaysia
MAD 	0.00175745	Barajas, Spain
DEL 	0.00175196	Indira Gandhi Intl, India
CLT 	0.00174358	Charlotte Douglas Intl, United States
SEA 	0.00174175	Seattle Tacoma Intl, United States
MSP 	0.00173697	Minneapolis St Paul Intl, United States
NRT 	0.00171310	Narita Intl, Japan
MNL 	0.00171237	Ninoy Aquino Intl, Philippines
VIE 	0.00169093	Schwechat, Austria
LED 	0.00168873	Pulkovo, Russia
CAN 	0.00161223	Baiyun Intl, China
LAS 	0.00160106	Mc Carran Intl, United States
AEP 	0.00157265	Aeroparque Jorge Newbery, Argentina
GRU 	0.00157184	Guarulhos Gov Andre Franco Montouro, Brazil
JNB 	0.00153235	Johannesburg Intl, South Africa
MAN 	0.00152328	Manchester, United Kingdom
PMI 	0.00150716	Son Sant Joan, Spain
BOM 	0.00150390	Chhatrapati Shivaji Intl, India
EWR 	0.00150138	Newark Liberty Intl, United States
BRU 	0.00149950	Brussels Natl, Belgium
YVR 	0.00149260	Vancouver Intl, Canada
DUS 	0.00148660	Dusseldorf, Germany
CGK 	0.00145903	Soekarno Hatta Intl, Indonesia
CTU 	0.00144693	Shuangliu, China
DTW 	0.00144292	Detroit Metro Wayne Co, United States
KMG 	0.00143037	Wujiaba, China
MEL 	0.00142386	Melbourne Intl, Australia
IAD 	0.00140936	Washington Dulles Intl, United States
MCO 	0.00140738	Orlando Intl, United States
ANC 	0.00139334	Ted Stevens Anchorage Intl, United States
AUH 	0.00139238	Abu Dhabi Intl, United Arab Emirates
TPE 	0.00138735	Taoyuan Intl, Taiwan
PHL 	0.00138520	Philadelphia Intl, United States
CPH 	0.00138519	Kastrup, Denmark
AKL 	0.00138169	Auckland Intl, New Zealand
PHX 	0.00137553	Phoenix Sky Harbor Intl, United States
ZRH 	0.00135770	Zurich, Switzerland
HND 	0.00135069	Tokyo Intl, Japan
BOS 	0.00134274	General Edward Lawrence Logan Intl, United States
YUL 	0.00132824	Pierre Elliott Trudeau Intl, Canada
SVO 	0.00132073	Sheremetyevo, Russia
LIM 	0.00129506	Jorge Chavez Intl, Peru
OSL 	0.00129444	Gardermoen, Norway
FLL 	0.00127593	Fort Lauderdale Hollywood Intl, United States
ORY 	0.00126249	Orly, France
ARN 	0.00125240	Arlanda, Sweden
XIY 	0.00124938	Xianyang, China
BET 	0.00123222	Bethel, United States
HEL 	0.00116713	Helsinki Vantaa, Finland
JED 	0.00116112	King Abdulaziz Intl, Saudi Arabia
MXP 	0.00114840	Malpensa, Italy
BSB 	0.00112821	Presidente Juscelino Kubitschek, Brazil
LIS 	0.00112632	Lisboa, Portugal
CKG 	0.00112396	Jiangbei, China
NBO 	0.00110158	Jomo Kenyatta International, Kenya
ATH 	0.00107412	Eleftherios Venizelos Intl, Greece
HGH 	0.00105936	Xiaoshan, China
THR 	0.00105171	Mehrabad Intl, Iran
HNL 	0.00104808	Honolulu Intl, United States
CAI 	0.00103425	Cairo Intl, Egypt
DUB 	0.00103389	Dublin, Ireland
SZX 	0.00102923	Baoan Intl, China
RUH 	0.00102023	King Khaled Intl, Saudi Arabia
ADD 	0.00101647	Bole Intl, Ethiopia
TXL 	0.00101587	Tegel, Germany
SLC 	0.00100214	Salt Lake City Intl, United States
PER 	0.00099508	Perth Intl, Australia
PPT 	0.00098712	Faa\\'a International, French Polynesia
POM 	0.00098342	Port Moresby Jacksons Intl, Papua New Guinea
DOH 	0.00096616	Doha Intl, Qatar
SHA 	0.00095050	Hongqiao Intl, China
URC 	0.00095025	Diwopu, China
CUN 	0.00094012	Cancun Intl, Mexico
AGP 	0.00093508	Malaga, Spain
XMN 	0.00093210	Gaoqi, China
PDX 	0.00092372	Portland Intl, United States
YYC 	0.00091396	Calgary Intl, Canada
HIR 	0.00091164	Honiara International, Solomon Islands
SCL 	0.00090341	Arturo Merino Benitez Intl, Chile
MDW 	0.00088934	Chicago Midway Intl, United States
BWI 	0.00088868	Baltimore Washington Intl, United States
LGA 	0.00088704	La Guardia, United States
GIG 	0.00088692	Galeao Antonio Carlos Jobim, Brazil
FAI 	0.00088419	Fairbanks Intl, United States
KIX 	0.00087375	Kansai, Japan
STN 	0.00086755	Stansted, United Kingdom
STL 	0.00086450	Lambert St Louis Intl, United States
SAW 	0.00085626	Sabiha Gokcen, Turkey
TAO 	0.00085337	Liuting, China
CCS 	0.00084714	Simon Bolivar Intl, Venezuela
CSX 	0.00084638	Huanghua, China
WUH 	0.00083920	Tianhe, China
DCA 	0.00083699	Ronald Reagan Washington Natl, United States
GVA 	0.00083170	Geneve Cointrin, Switzerland
VCP 	0.00082484	Viracopos, Brazil
TPA 	0.00082148	Tampa Intl, United States
PRG 	0.00081903	Ruzyne, Czech Republic
NKG 	0.00081183	Lukou, China
ALC 	0.00081176	Alicante, Spain
IBZ 	0.00080400	Ibiza, Spain
BHX 	0.00079911	Birmingham, United Kingdom
PTY 	0.00079875	Tocumen Intl, Panama
DMK 	0.00079847	Don Muang Intl, Thailand
CCU 	0.00078461	Netaji Subhash Chandra Bose Intl, India
NCE 	0.00078117	Cote D\\'Azur, France
JNU 	0.00077721	Juneau Intl, United States
VCE 	0.00077561	Venezia Tessera, Italy
SGN 	0.00076097	Tansonnhat Intl, Vietnam
STR 	0.00075543	Stuttgart, Germany
DPS 	0.00074810	Bali Ngurah Rai, Indonesia
LYS 	0.00074460	Saint Exupery, France
CNS 	0.00074344	Cairns Intl, Australia
LPA 	0.00074294	Gran Canaria, Spain
HAM 	0.00073933	Hamburg, Germany
SAN 	0.00073587	San Diego Intl, United States
VLI 	0.00072229	Port Vila Bauerfield, Vanuatu
ALG 	0.00072066	Houari Boumediene, Algeria
EDI 	0.00071827	Edinburgh, United Kingdom
SJO 	0.00071721	Juan Santamaria Intl, Costa Rica
MRS 	0.00071396	Provence, France
WAW 	0.00071276	Okecie, Poland
CMN 	0.00070401	Mohammed V Intl, Morocco
YXL 	0.00070310	Sioux Lookout, Canada
